"","TCGA-44-2668-11A-01R-1758-07","TCGA-50-5936-11A-01R-1628-07","TCGA-44-2661-11A-01R-1758-07","TCGA-44-3398-11B-01R-1758-07","TCGA-44-6776-11A-01R-1858-07","TCGA-91-6831-11A-02R-1858-07","TCGA-50-5932-11A-01R-1755-07","TCGA-55-6984-11A-01R-1949-07","TCGA-44-2657-11A-01R-1758-07","TCGA-38-4627-11A-01R-1758-07","TCGA-69-7980-01A-11R-2187-07","TCGA-55-1592-01A-01R-0946-07","TCGA-55-7727-01A-11R-2170-07","TCGA-55-6972-01A-11R-1949-07","TCGA-49-AARE-01A-11R-A41B-07","TCGA-86-7713-01A-11R-2066-07","TCGA-55-7913-01B-11R-2241-07","TCGA-44-A47G-01A-21R-A24H-07","TCGA-44-2662-01B-02R-A277-07","TCGA-44-5645-01A-01R-1628-07"
"VTA1",1860,1241,1580,2337,1160,807,1059,2710,1488,2198,4070,4327,1248,664,1622,3065,2882,1350,799,1715
"MLXIPL",266,159,142,118,152,59,199,243,162,90,75,522,20,4,320,55,2171,53,60,186
"BAZ1B",6002,3672,5184,6560,2669,2401,3259,4886,4139,2182,7816,8244,3248,2056,5680,17959,9936,3853,3676,6269
"RANBP9",2825,1408,1642,2268,1374,883,1004,2206,1229,1235,2084,5750,1727,1107,2043,6288,3466,1602,1294,1753
"ETV7",241,204,426,476,214,118,100,557,371,352,846,453,290,43,383,236,544,583,192,412
"SPRTN",559,313,410,625,338,230,257,633,330,530,489,1455,384,467,704,2088,1844,496,515,550
"EEF1AKNMT",2026,1199,2019,2234,972,472,976,2242,1915,1530,2958,3515,1068,1556,2024,5302,9538,1760,372,1994
"DYRK4",649,482,616,748,385,217,296,742,551,789,1432,622,229,373,491,837,1220,534,168,318
"ZNF207",7166,3111,4527,6061,2906,2038,2658,5338,4530,4466,12622,11348,5334,3024,6771,11367,10483,7185,11860,4165
"UQCRC1",8038,3184,5248,6980,2923,1430,2550,7067,5272,7318,8240,8038,1933,5922,6497,13928,12179,4912,326,3445
"STARD3NL",3677,1674,2172,2729,2258,976,1295,3015,1946,3533,2595,2736,1383,1588,1793,2377,4599,2621,1070,1316
"CD9",41601,14279,23681,31312,15700,11338,16262,41364,12522,25502,32483,42213,4603,12281,20847,16260,21239,17920,1057,11596
"HHATL",1,2,1,25,10,2,2,44,8,0,2,9,0,1,14,8,1,7,4,6
"NCAPD2",2175,1758,2731,3404,1528,613,1307,2519,3382,1177,7899,6125,1773,963,3844,16092,11104,2491,891,2824
"IFFO1",1192,513,975,1484,452,259,369,804,839,529,666,831,116,31,663,266,269,946,162,444
"GIPR",107,42,77,196,103,30,37,346,65,35,250,474,165,19,247,253,240,427,70,423
"PHF7",157,138,160,216,130,78,112,223,125,114,113,294,200,164,197,378,295,154,60,128
"SEMA3G",2302,2614,2259,3041,3270,3318,2659,1500,1235,3721,425,906,123,78,519,1850,165,273,50,143
"NISCH",5195,3933,5715,7419,4496,1790,2927,7033,4550,2229,6411,6876,1175,1894,3644,13679,3922,4583,1064,3954
"STAB1",9917,1991,6263,4805,1154,988,1244,1505,2675,3530,3376,6474,316,138,1899,4771,2382,3181,3707,3430
"FUZ",492,298,578,1023,388,148,239,1025,520,538,743,1015,215,374,501,1480,1525,395,38,487
"SLC6A13",142,81,107,157,95,47,64,261,124,70,47,22,7,33,6,67,6,5,9,12
"IDS",845,448,553,875,216,192,360,613,371,408,696,568,111,79,258,308,434,414,305,573
"PRSS3",5,1,3,13,0,0,1,2,3,2,7,40,8,0,8,0,549,5,34,8
"ZNF200",482,252,396,511,209,200,206,565,371,299,1491,1807,257,243,807,698,871,301,351,367
"CD4",15092,5537,14491,13569,3372,2982,5564,10099,11549,11770,9214,6611,1862,187,3733,2959,2011,8064,1052,9496
"LRRC23",377,345,602,1872,913,202,316,2555,712,452,1499,904,280,892,1098,1033,567,699,68,1082
"BTK",2738,1250,2019,2312,664,646,1049,2320,2457,1753,922,1322,508,26,369,323,189,951,452,847
"HFE",910,604,870,1057,555,330,456,1197,658,657,1735,2054,453,800,548,608,1030,713,311,697
"SCMH1",1764,1390,1991,2467,1368,588,1164,2246,1511,948,3459,3199,926,1177,1264,6495,1957,1234,735,1908
"FYN",3572,2745,3806,4616,2611,1716,2351,1606,3382,2402,3165,1508,2233,131,1199,1650,718,3486,1245,2535
"HIVEP2",6207,1589,2011,3481,1112,2002,1676,2509,1508,1019,4216,2201,1367,281,1305,3506,1957,3132,2046,2185
"FMO1",59,19,90,909,13,21,24,40,52,67,126,153,34,37,107,98,80,101,129,129
"ELOA",4902,3411,3941,5071,3675,1573,2601,5631,3829,2210,5260,7344,2102,2020,2130,10827,3860,2532,1027,4447
"LYPLA2",3947,1452,2893,3042,1268,683,1072,3507,3166,2511,9850,7384,911,2715,4221,8702,5055,5134,162,3586
"CLCN6",1639,924,1271,2185,989,510,857,1621,1096,401,1634,2781,550,416,866,4891,1142,792,526,939
"MRC2",13938,8839,13794,17484,5258,2990,5409,8035,10644,11379,7577,9353,1365,244,7480,2807,1361,6908,1011,3971
"NME1-NME2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC6A7",6,1,11,3,4,3,2,1,10,0,6,27,0,1,4,2,10,19,1,6
"TSPAN9",3786,3114,5370,6674,2778,2049,2988,3374,2948,4900,5342,4907,579,353,2385,3408,2326,1728,356,2447
"BTBD7",2390,1685,2140,2737,1541,639,1465,2759,1367,1038,1690,3521,1294,761,1230,4180,2678,947,1290,1807
"APBA3",570,319,624,784,280,157,254,644,756,617,1027,795,79,224,727,1018,834,645,153,565
"MKS1",406,306,520,798,370,166,256,921,477,267,1750,1836,415,486,1234,1314,886,738,316,540
"ABHD5",3673,2020,1938,2334,1938,1536,1270,2997,1459,2633,2107,2671,1097,497,1174,2133,1524,1221,1739,933
"ANOS1",4611,8544,13906,13522,9930,4307,7635,27769,6060,6342,2863,3168,970,73,122,863,391,541,707,3070
"AKAP8L",1078,647,912,1371,738,418,494,1211,730,388,2257,1863,573,396,2561,1708,1615,1168,290,837
"MBTD1",624,815,937,1249,783,394,655,1416,759,407,2752,2843,957,487,842,8299,2340,746,1731,845
"UTP18",2176,749,1339,1816,791,531,686,1688,1401,1654,1835,3496,945,819,1359,4851,3580,1467,646,1000
"RNF216",3048,2000,3073,3634,1718,791,1671,2745,2697,1645,2668,5413,1049,949,6127,4525,7796,2436,1214,2101
"TTC19",2731,1779,2456,3182,2263,1248,1566,3300,2260,1371,5177,3175,1031,1298,1376,6566,2797,2343,1541,2380
"PTBP1",15573,6861,10688,14718,5384,3746,5521,10332,9435,7181,23827,16456,3441,4440,20428,20500,26350,8366,1964,9261
"DPF1",18,11,17,11,10,3,8,34,13,12,93,53,4,4,50,25,16,5,18,54
"SYT7",311,190,425,470,228,84,287,249,303,111,2565,5018,590,2371,7584,20963,8839,1372,211,333
"LARS2",1306,610,969,1544,579,360,546,1215,1152,676,1655,2404,457,655,921,3655,2331,702,612,1031
"PIK3C2A",3886,3490,3029,3535,4098,2715,2709,3605,1911,2253,3849,7862,1871,986,2664,10302,6147,1799,4864,4500
"PLAUR",8108,2634,2798,4423,866,1948,1357,3362,2815,3274,7483,4265,518,427,6246,3265,30244,5828,953,657
"ANLN",400,98,228,266,68,36,91,110,199,186,1266,2258,2086,209,2123,4940,7047,1686,2301,287
"WIZ",3442,1607,2921,3352,1215,613,1402,2630,1989,1303,4589,2702,328,515,5202,2658,4620,1818,215,1667
"RABGAP1",3105,2868,3720,4564,2781,1520,2315,4053,2447,1713,3778,2334,1747,1614,3722,10687,5076,2177,1453,2362
"DCN",46774,29515,99179,133047,15827,27070,47869,54941,29380,68228,18307,29477,5783,1995,12817,7192,4041,19042,6197,23463
"QPCTL",593,310,467,462,219,129,192,584,556,351,1421,765,135,405,650,1516,1370,732,77,378
"PPP5C",2792,1545,2378,2823,1719,774,1324,2686,2105,2090,7316,4018,771,302,3020,6497,5898,1554,340,1826
"CEP68",1043,1022,1962,2433,942,615,1047,1642,1066,949,1547,2498,382,455,862,1586,1713,1056,1314,1370
"MAP4K3",1426,1341,1879,1933,1282,916,1251,2065,971,1777,3087,3652,2655,825,1691,8078,5475,1815,2525,1113
"ZBTB32",29,8,30,42,4,17,17,32,167,7,71,32,22,7,186,17,51,142,45,43
"TYROBP",18782,6132,10089,11637,3064,2650,3350,11551,9581,18271,6156,6696,489,161,3442,1408,1394,4761,214,2255
"TMEM159",1016,973,1722,2321,932,391,993,2134,1435,2262,2459,4920,2529,1446,3223,4429,2150,2708,874,2891
"GABRA3",1,1,1,3,2,0,0,0,13,0,39,1095,2,107,78,0,1772,1,10,4
"BRCA1",315,167,216,384,194,120,201,320,340,221,895,1459,635,139,916,2098,1985,609,1621,253
"ERCC1",2371,919,1746,2317,1056,594,708,1947,1599,1886,3341,2593,498,850,3050,2268,4026,1463,273,1430
"CD22",732,672,546,828,217,226,217,497,6650,518,471,937,457,7,444,58,199,657,74,883
"SEMA3B",4117,3388,7811,8940,2834,1956,3964,12973,3607,2723,2469,1326,674,524,913,646,2322,2405,111,255
"MBTPS2",1140,903,949,1274,741,423,606,1060,705,897,2161,2092,997,537,881,2912,4937,949,1175,1631
"PRICKLE3",575,271,508,557,188,111,229,535,460,284,809,12748,95,175,1436,1041,1365,421,55,718
"LTF",1857,500,1270,741,4286,523,201,678,9600,322,1716,2385,11377,54,2313,2598,322,2913,446,1268
"EXTL3",3244,1791,3321,4258,1268,572,1472,2334,2036,1859,2974,5541,1329,182,2220,2450,4103,2015,464,2406
"NR1H4",11,8,7,38,6,5,7,13,8,4,6,3,2,0,0,12,0,0,16,2
"ELOVL5",9666,3437,6809,6074,4155,4199,3205,7237,5178,5393,7795,15768,3445,867,5107,14969,15486,4599,3306,4663
"ALOX5",22301,7730,8681,12607,3268,2293,5413,8682,7536,4858,2971,3803,456,64,856,674,1287,4210,1381,2448
"KDM5D",1784,1367,1,0,2,831,981,0,1,2,1,6288,1832,1366,1,4004,3,1,1053,0
"CALCOCO1",7933,6315,8503,11217,6468,3644,4625,11416,5870,4437,11042,7798,2470,2377,4029,3245,3553,3183,959,3139
"UBR7",1772,1000,1652,2029,1014,660,1053,1905,1468,1500,2212,2515,1103,578,1320,2123,3082,999,410,1484
"MAP4K5",2157,1643,1992,2588,1661,1338,1354,2510,1113,1157,3271,3243,1228,523,1546,4510,3295,1798,3042,1694
"EHD3",615,834,754,1691,813,370,762,536,914,810,1536,1237,351,125,1026,2255,1441,784,240,377
"PSMC4",4559,1744,2727,3641,1567,1000,1329,2939,2715,3061,9212,5874,1536,2238,9529,7802,10935,2908,1729,1965
"MAN2B2",8150,4137,5746,7288,2210,1528,3405,6656,3881,2906,19076,9121,1202,1189,1919,5251,4167,5553,682,5590
"SLC7A14",0,2,1,2,2,3,3,3,2,4,3,0,1,1,1,2,0,1,37,1
"CLDN11",273,375,295,553,354,355,346,197,302,873,81,160,44,31,85,97,63,80,112,74
"SLC25A39",5059,2229,3481,4925,1784,812,1674,4074,4089,5034,10387,10772,1196,4430,16812,18994,18632,8008,437,3186
"MVP",33475,11657,16854,23230,10076,4972,8240,18676,16775,10827,26993,31348,4328,4606,28138,19807,11595,19668,903,9854
"NUB1",3251,2597,3745,5166,2563,1841,2378,5126,3523,2760,4214,6875,1850,1761,2662,5317,5326,3911,1341,3917
"PGM3",1529,1068,1256,1781,1027,689,897,1789,964,1421,5359,3828,1065,508,2899,4213,4218,1395,2446,979
"RWDD2A",368,271,421,545,237,120,235,487,356,481,845,897,312,212,401,682,757,272,200,257
"CLK1",2460,1657,2009,4360,2861,2638,1463,2828,2257,3251,5421,6075,2035,1830,3647,5957,2722,6936,4484,2912
"POLR3B",633,458,583,796,371,235,407,712,537,508,819,702,247,327,366,917,1198,365,436,710
"ANGEL1",1655,924,1378,1830,773,377,795,1269,1229,846,418,2629,490,1009,1006,4044,2274,853,550,894
"RNF14",2159,1596,2254,2777,1556,876,1221,2849,1933,3080,2533,4173,1363,1630,2206,3996,4383,1833,984,2397
"DNASE1L1",833,404,554,881,357,190,341,507,525,579,483,1529,154,201,874,691,1066,384,80,707
"DDX11",791,72,451,977,310,33,236,521,842,49,2199,1117,318,448,2098,5825,4800,1309,294,188
"HEBP1",2318,1843,3517,3892,1963,996,1633,4505,2377,3054,2925,3466,755,1055,1309,2559,3455,1967,375,1408
"GPRC5A",123757,68335,82508,70493,61644,35335,39525,108008,42111,29771,27340,34876,25040,11780,31777,40263,14451,21316,2271,11866
"MAMLD1",494,314,627,444,197,143,257,151,220,284,202,199,83,12,140,469,203,444,245,292
"CD6",573,518,1576,1324,230,243,256,532,1824,478,1413,863,210,40,713,603,518,1744,59,1363
"TACC3",1530,494,888,987,312,236,386,658,2094,623,7179,3077,822,558,1917,3584,5252,1946,759,1236
"UFL1",1706,1565,1444,2223,1499,1033,1204,2469,1387,1543,3479,4236,1566,1148,1792,2912,3303,1734,1741,1921
"POLA2",174,70,132,230,106,23,56,147,157,149,351,352,76,96,447,247,375,207,219,109
"ZC3H3",1913,858,1314,1486,573,315,664,1092,1159,722,2227,2028,220,650,2993,4646,2279,1330,140,765
"CAPN1",17002,7075,13476,14889,5923,3095,6031,13318,11624,9741,15406,21381,3536,4477,9591,18190,27831,10198,1137,13420
"ACP3",549,329,229,365,310,168,244,339,367,429,660,632,321,179,186,194,864,114,182,316
"MDH1",6399,2935,4624,6461,2584,1571,2476,7223,4564,6056,5986,10396,3736,2212,5663,7981,8875,5915,1105,2859
"SLC30A9",3471,2538,3055,4320,2658,1723,2113,4597,2499,2951,7852,7595,2472,1930,1643,4305,5895,2160,3005,3846
"MTMR11",765,334,492,867,265,197,264,598,208,528,1769,1315,944,29,933,1288,1565,1096,267,324
"COX15",1279,921,1287,1883,925,521,762,1715,1340,1162,2172,2779,922,1723,1160,4662,3778,1223,972,1438
"CCDC88C",1800,2173,1910,3147,1878,760,1307,3531,2622,598,4914,3666,509,349,2871,8541,7630,2863,702,3372
"YAF2",732,454,554,726,467,385,356,901,514,1081,1254,798,295,292,734,2097,1183,559,1425,467
"ZMYND11",4559,4508,5077,6650,4415,3092,3851,6834,3213,3513,4567,6075,2835,2440,3273,9725,7819,2510,1903,4560
"WAS",3043,948,1549,1972,433,398,654,1210,2702,1181,1639,1223,212,30,1015,471,345,1209,150,951
"DPEP1",29,6,161,8,8,1,2,2,76,77,138,27,2,5,42,69,18,82,1,23
"BID",2263,744,1224,1757,516,332,562,1651,1150,2053,3588,3185,378,237,1979,1636,3472,1080,503,548
"MATR3",36,16,30,68,28,32,14,46,18,14,86,86,26,34,34,66,65,132,1272,66
"NPC1L1",11,1,26,24,12,4,11,15,9,4,77,17,4,10,45,164,41,20,7,19
"XYLT2",1369,1044,1900,2254,997,409,730,2180,1709,1193,4049,3118,600,889,2531,5229,3879,2394,335,1696
"RGPD5",0,1,2,4,0,0,1,2,1,0,4,4,0,2,0,3,1,3,3,4
"STMN4",2,0,2,0,0,1,0,1,1,0,0,0,0,0,25,1,0,1,5,2
"NUDCD3",4839,3424,5683,6948,3260,1512,2967,6176,4933,3923,6889,6850,2017,2448,5847,9819,13877,4462,885,4497
"ISL1",0,0,0,10,3,0,2,1,1,0,22,0,0,1,5,2,1,0,7,2
"CHDH",997,592,575,1275,310,113,404,979,610,224,432,1099,419,75,166,6092,1241,1513,87,717
"IL20RA",1189,700,494,910,2317,671,471,1635,523,380,505,732,62,23,482,358,480,143,127,138
"CLCA1",1,0,0,104,0,0,0,1,4,0,1,5,2,0,0,22,1,1,5,0
"CLCA4",3,0,2,33,6,1,0,4,9,0,27,7,0,2,2,5,18,8,20,1
"GLT8D1",1537,1226,2205,3132,1359,801,1140,2921,1674,1868,3596,4769,1449,1624,1958,4716,3470,1851,628,1686
"ATP2C1",9860,6452,7616,10014,6991,3749,5571,10641,6595,6289,13020,15198,2918,1833,2810,4728,8842,4427,4399,5374
"IGF1",84,124,210,171,72,48,37,49,71,232,260,157,24,2,29,42,480,128,59,27
"SLC38A5",855,930,1771,2317,416,482,851,1116,975,1348,564,756,145,85,836,343,1109,907,120,1797
"RALBP1",4431,3325,4914,5812,2815,1860,2654,5502,3122,2542,15014,7591,2260,1075,3156,18806,6866,2427,1186,2506
"RUFY3",2050,1813,2160,2677,2203,1327,1232,3293,1918,1032,3948,4366,1719,1171,1703,6298,1790,2406,4419,2516
"CNTN1",860,707,620,1133,646,300,647,1029,768,439,146,167,304,20,42,534,25,74,105,169
"SLC11A1",11819,3412,4196,6918,2190,1946,2002,5687,2845,3537,1493,3528,165,421,1818,1285,2285,3726,2673,263
"WWTR1",10973,7034,6665,9059,7636,5846,5356,9181,3960,6652,6605,8753,1542,2892,1588,6907,3143,3642,2467,2235
"AGPS",4020,2339,2584,3659,1718,1236,2057,3968,1889,2717,3956,6537,1826,931,1837,4983,4736,2965,2562,1825
"ZNF806",2,0,0,0,0,0,1,0,0,0,1,4,0,5,1,0,1,0,5,1
"CXorf56",1041,703,1117,1158,722,484,626,1472,928,729,1648,6935,512,576,1307,1467,1739,792,305,1466
"ATP1A2",403,252,336,479,694,103,342,334,141,490,135,167,28,13,30,129,1,74,15,143
"TTC27",690,546,760,1059,509,257,505,815,690,534,1501,1747,721,525,943,2096,1490,1093,395,784
"ZNF582",64,52,112,138,60,46,67,120,63,172,133,162,30,83,63,418,61,39,35,52
"VSIG2",1969,2002,3584,3745,2528,1180,1690,6910,2758,2335,133,1961,312,1459,129,541,2062,182,49,1325
"PHLDB1",3398,2500,4908,4728,2215,2113,2281,2176,1604,2651,5439,9317,727,297,2537,3844,2153,2580,1668,3246
"MARCO",68046,18527,21446,32767,8124,8748,12252,47478,16004,14733,1097,12117,448,30,282,1450,815,3075,435,1079
"CYP24A1",13,6,8,32,15,0,21,33,26,9,1080,72,74,138,1628,21086,3088,218,977,77
"PRDM11",1075,897,1002,1410,1024,292,834,1212,740,623,1233,1373,174,291,501,1109,1170,200,93,482
"SYT13",3,18,7,15,32,6,35,31,17,12,1958,49,1,24,25,53,20167,0,11,0
"SNAI2",556,231,648,1026,205,153,307,286,233,604,388,464,90,12,489,228,245,774,445,145
"CD74",538922,216281,361813,377422,147896,91188,140787,387196,445583,227595,286692,220433,59337,13305,101357,46791,47138,324355,6893,504935
"HGF",1186,1274,1651,2130,415,824,1014,948,568,2452,690,1012,347,58,154,522,69,395,689,790
"ZRANB1",833,672,809,1130,505,323,536,818,503,425,831,1031,388,300,566,2266,1676,345,452,514
"NCDN",2902,911,1871,2028,858,348,690,1864,1704,1052,3642,2770,429,984,1569,2503,1878,1928,154,1937
"ADGRA2",2550,1511,3898,4285,920,793,1456,1041,1515,1797,1541,1297,106,47,969,1092,688,1008,269,1273
"CCT8L1P",0,0,0,1,0,0,0,0,1,0,5,1,0,0,1,0,3,1,1,0
"ZFP64",506,481,722,945,378,162,376,829,599,471,1559,1903,308,679,879,1589,2137,341,328,841
"MNAT1",373,279,334,495,344,244,178,546,268,331,805,1103,294,435,632,1120,961,442,315,407
"SAMD4A",5780,1650,3140,3426,1031,1294,1482,2764,1156,1628,810,1271,940,53,358,255,638,2079,1929,478
"RUNX3",2376,1229,1242,2562,526,504,918,933,2584,716,1904,711,609,42,746,3714,1422,1413,111,1688
"MRE11",782,785,921,1416,746,491,593,1496,744,560,1743,2708,590,534,1669,3122,2780,894,1668,1426
"PLEKHB1",2299,1062,1452,3221,1253,567,843,3444,2004,1003,4651,7678,1262,1794,1811,1699,2644,1052,36,1816
"SERPINB1",23468,6837,5829,8658,6217,8362,3771,9058,6162,11902,7115,7499,7755,4776,7659,8349,10469,11039,1975,3954
"CYP3A43",0,0,2,1,3,1,0,1,1,0,4,14,3,5,0,0,5,1,10,1
"SLC7A9",2,1,3,6,3,2,6,19,7,7,76,40,2,12,92,49,19,18,5,14
"SPAST",1097,852,1016,1376,671,531,646,1715,753,1041,2590,3107,1129,967,1273,3601,2163,1489,1302,858
"NRXN3",473,736,478,553,922,562,379,656,398,243,135,521,268,168,41,976,82,72,126,201
"OSBPL5",2003,1186,1987,2731,1155,527,924,1541,1310,1416,3146,6474,158,50,1183,2216,4439,1569,139,880
"AQR",2608,2078,2493,3242,1814,1287,1620,3064,2118,1363,2432,5198,1372,665,2715,8686,4820,1712,1774,3342
"CPS1",52,129,140,213,95,62,126,113,72,130,122,100,22,31,42,95174,268088,474,187,38
"C8B",440,320,976,276,412,55,156,910,653,184,13,159,20,1,4,668,43,5,2,6
"FHL1",12422,12797,17612,27460,9920,8216,15502,24489,9436,28598,2004,3411,414,495,639,527,132,1271,210,3277
"RTF2",3719,1945,3095,4558,1879,1325,1861,3690,2772,3074,4794,5918,1238,2082,3084,3669,5212,1471,555,2890
"GABRA1",0,0,0,1,2,1,1,1,0,0,0,5,0,0,1,0,3,0,26,0
"NLRP2",1301,489,692,801,629,28,578,397,435,399,7391,1990,167,3,175,17,6266,2172,94,1312
"SLC45A4",2032,1204,2142,2177,988,429,852,2407,1588,706,2754,5173,347,1276,1169,26368,3982,1012,472,1213
"RNF10",10628,5192,9301,11072,5365,3113,4595,10442,6784,5199,16833,9343,4411,3243,8354,18077,12641,5012,1351,6724
"ZNF839",220,271,290,422,237,134,200,412,280,132,695,522,166,291,432,681,1145,363,163,285
"ZDHHC6",1814,1033,1442,1890,1166,736,828,1984,1215,1410,2529,3118,1736,1467,1700,3703,5447,1662,800,1373
"GRAMD1B",565,166,502,376,116,106,178,324,439,204,931,326,87,44,194,76,615,254,345,199
"RNH1",22065,7852,15689,18368,6833,3772,6299,16048,12243,13039,11770,15214,944,3944,10608,8765,10328,6879,357,5870
"NDUFS1",4140,2661,3191,4524,2343,1659,2252,3932,2638,2644,5461,10230,3089,2403,3184,12062,9426,3914,1868,2801
"RB1CC1",2680,3003,2929,4058,2968,2217,2385,4854,1828,2177,3593,6916,2282,2111,2860,7849,4603,1881,3712,2526
"ERP44",5123,2882,3818,5118,2733,2000,2456,5183,3438,4432,5265,5712,2011,2123,3724,5632,10360,3100,1169,2808
"ALAS1",6379,4305,6166,7413,2556,1863,2213,6447,6265,2959,9063,6231,3104,1800,3857,7628,6096,2059,332,5901
"BIRC3",5855,2417,1866,2970,2863,4633,917,2441,3957,3095,4608,3408,1995,200,1272,2733,1642,24735,8964,5561
"AKAP11",2837,3662,3286,4684,2654,2400,3195,4695,2659,2391,3381,4712,1694,1091,1638,6782,4871,1795,3661,2766
"GLRX2",810,418,563,985,418,309,379,1096,426,863,1055,1130,501,464,624,2272,1464,732,595,535
"SNAPC1",345,350,316,446,392,242,242,557,337,492,487,666,168,218,298,768,689,515,243,225
"DERA",1850,1202,1670,2210,1315,800,1008,2765,1324,2313,5232,3556,1071,1267,2420,3888,3140,1791,606,1150
"STRAP",5814,2773,3901,5043,2829,1959,2162,4838,3235,4889,10697,7235,2172,3288,4442,12971,11464,4084,1289,2772
"ABCC2",21,25,21,45,42,9,13,45,26,5,135,73,53,20,302,41,36,39,52,50
"DEF6",1473,592,1034,1493,362,261,380,760,2002,613,2425,1723,430,195,1271,1349,1125,2119,176,1273
"PLEKHO1",2508,1389,3694,4072,1156,1246,1005,4024,4007,3548,5608,1792,721,497,2740,1018,2753,2645,606,2002
"GCLM",1622,846,985,1440,863,690,695,1747,757,1434,1011,2679,932,2163,3505,2350,1382,3436,1699,1489
"UBR2",2835,2395,3043,4554,2322,1662,2127,4098,2235,1644,4569,5244,1584,678,1693,10724,2708,2014,2359,2644
"EHD2",20163,13184,29331,25952,10723,6931,12672,24593,13496,14458,31006,6707,3083,894,5618,9626,2354,6199,445,8465
"DEPDC1",64,15,38,46,10,4,19,34,102,89,194,789,455,54,214,1219,1189,104,608,52
"CCDC28A",1387,1023,1590,2159,1157,714,837,2765,1378,1453,1229,1694,1115,411,885,920,1027,1130,175,1419
"RRAGD",3211,1525,1688,2139,1524,728,1051,2691,1583,1516,635,6460,1142,109,1653,824,6450,1035,1475,522
"HSF2",580,465,630,981,485,241,379,1022,584,509,800,1442,580,323,664,833,1036,561,438,762
"PHF20",4369,1982,2534,3165,1647,1489,1730,2695,1994,1617,3516,4896,1343,1019,1980,5300,4707,2347,1942,2219
"HSD17B6",4998,3358,3510,6971,4246,1704,2209,7359,2716,3150,890,1416,867,687,1069,726,91,156,46,3364
"NR1H3",2031,760,1939,2097,956,444,623,2988,1913,2212,1281,3201,411,752,1214,1146,1518,1032,212,1579
"TYMP",8045,2049,3285,5203,1456,1172,1261,5871,3402,4203,6636,6822,1313,474,8638,11083,8424,8627,915,1921
"NCAPH2",2460,1275,2296,2801,1325,716,1055,2502,2108,2264,3016,3996,703,1188,3310,4427,5668,1425,123,1129
"TOMM34",2257,791,1280,1773,864,451,556,1466,1580,940,2807,2592,694,970,1821,4366,2594,2063,265,1442
"SEC63",5154,4405,5618,6839,4946,2873,3844,7635,3947,3042,7505,10188,3453,1839,3873,6744,6718,3899,2508,5294
"KPNA6",5183,2789,3885,4295,2678,1800,2439,4789,2916,2068,8511,8982,3182,1802,2444,11417,5424,3997,1787,4541
"VIM",71401,25060,54707,61009,18158,15709,25531,61292,26807,53296,19528,25691,7077,18563,16445,7970,6481,32233,9604,13171
"RTEL1-TNFRSF6B",43,22,35,62,41,17,30,53,25,9,138,163,24,28,231,53,234,205,83,66
"FAS",2054,1056,1710,2134,1035,933,928,1967,1295,2094,821,690,800,235,298,300,250,1893,1236,1757
"RNASET2",1397,626,961,1782,410,304,402,1523,1284,969,2718,1377,459,519,1552,1030,3111,2183,2059,908
"CD44",55410,20663,25887,40886,17289,13690,21998,39798,24639,27047,10863,19241,6239,4064,4493,5891,4386,16528,7550,16540
"KCNG1",11,1,7,30,2,4,1,7,103,3,11,12,1,0,22,4,2,4,19,4
"AGPAT4",1714,646,915,1357,591,470,599,1454,612,533,205,464,174,58,322,245,1167,780,1008,768
"SLAMF7",488,491,1573,1449,246,250,262,679,1839,808,1989,2252,958,89,968,1440,712,3104,166,910
"BTN3A1",1832,2935,3688,5193,2498,1625,1993,4133,2670,2479,6307,3465,2306,573,1512,1651,1588,3455,761,2133
"MIPEP",1003,475,699,1293,528,247,410,1248,579,772,407,1520,369,605,924,1780,1726,539,205,980
"PRKCH",3713,2241,2835,5077,1919,1615,1980,2450,2518,2108,1837,2274,731,234,1331,1488,2267,1585,1048,2101
"INSRR",0,0,0,10,2,2,0,1,6,1,3,2,0,3,20,1,2,7,17,0
"IFNGR1",12572,5123,7644,9554,11593,4683,5071,9418,6287,16324,7996,9442,4076,2399,3976,3202,2964,6299,2882,4728
"B4GALT7",1210,522,1168,1306,489,202,440,1080,1221,1485,2214,2005,287,1029,1672,1795,1955,1311,262,1187
"SH2D2A",316,136,189,326,72,136,113,80,386,142,473,131,112,64,619,131,549,456,40,217
"VRK2",876,508,529,811,338,268,368,743,444,510,1256,1402,469,173,857,1630,1044,798,751,547
"TNFRSF1B",8394,2803,5268,8345,1704,1753,2644,3249,5954,3972,7220,4404,731,364,3634,2730,3239,4005,625,3439
